shapley_interaction_order,iteration,approx_value,interaction_index,n_absolute,n_relative,approx_type,sampling_kernel,pairing,full
2,1,0.0008462319301059013,SII,2252,0.55,approximation,unif-size,not-paired,not full
2,1,0.0008488765117748947,SII,2252,0.55,approximation,unif-size,not-paired,full
2,1,0.00012627867772893684,SII,2252,0.55,approximation,unif-set,not-paired,not full
2,1,0.00012495019326761375,SII,2252,0.55,approximation,unif-set,not-paired,full
2,1,0.00012516883625864758,SII,2252,0.55,approximation,ksh,not-paired,not full
2,1,0.00012495019326761375,SII,2252,0.55,approximation,ksh,not-paired,full
2,1,0.00012740946909395464,SII,2252,0.55,approximation,faith,not-paired,not full
2,1,0.00012495019326761375,SII,2252,0.55,approximation,faith,not-paired,full
2,1,0.0015663644385518732,SII,2457,0.6,permutation,,,
2,1,0.0008428000799929688,SII,2457,0.6,approximation,unif-size,not-paired,not full
2,1,0.0008488765117748947,SII,2457,0.6,approximation,unif-size,not-paired,full
2,1,0.00012444226414477346,SII,2457,0.6,approximation,unif-set,not-paired,not full
2,1,0.00012495019326761375,SII,2457,0.6,approximation,unif-set,not-paired,full
2,1,0.000125342008616937,SII,2457,0.6,approximation,ksh,not-paired,not full
2,1,0.00012495019326761375,SII,2457,0.6,approximation,ksh,not-paired,full
2,1,0.00012409133817435872,SII,2457,0.6,approximation,faith,not-paired,not full
2,1,0.00012495019326761375,SII,2457,0.6,approximation,faith,not-paired,full
2,1,0.0013836445506600662,SII,2662,0.65,permutation,,,
2,1,0.0008458193733426078,SII,2662,0.65,approximation,unif-size,not-paired,not full
2,1,0.0008488765117748947,SII,2662,0.65,approximation,unif-size,not-paired,full
2,1,0.00012388878344962267,SII,2662,0.65,approximation,unif-set,not-paired,not full
2,1,0.00012495019326761375,SII,2662,0.65,approximation,unif-set,not-paired,full
2,1,0.0001234620243987787,SII,2662,0.65,approximation,ksh,not-paired,not full
2,1,0.00012495019326761375,SII,2662,0.65,approximation,ksh,not-paired,full
2,1,0.00012654232207911787,SII,2662,0.65,approximation,faith,not-paired,not full
2,1,0.00012495019326761375,SII,2662,0.65,approximation,faith,not-paired,full
2,1,0.0013314989060039827,SII,2867,0.7,permutation,,,
2,1,0.0008468104040667113,SII,2867,0.7,approximation,unif-size,not-paired,not full
2,1,0.0008488765117748947,SII,2867,0.7,approximation,unif-size,not-paired,full
2,1,0.00012477152309623782,SII,2867,0.7,approximation,unif-set,not-paired,not full
2,1,0.00012495019326761375,SII,2867,0.7,approximation,unif-set,not-paired,full
2,1,4.085214829722088e-05,SII,2867,0.7,approximation,ksh,not-paired,not full
2,1,4.055660777507183e-05,SII,2867,0.7,approximation,ksh,not-paired,full
2,1,0.00012526469503554454,SII,2867,0.7,approximation,faith,not-paired,not full
2,1,0.00012495019326761375,SII,2867,0.7,approximation,faith,not-paired,full
2,1,0.0014974506988978961,SII,3072,0.75,permutation,,,
2,1,0.0008495596935539037,SII,3072,0.75,approximation,unif-size,not-paired,not full
2,1,0.0008488765117748947,SII,3072,0.75,approximation,unif-size,not-paired,full
2,1,0.00012486545814853833,SII,3072,0.75,approximation,unif-set,not-paired,not full
2,1,0.00012495019326761375,SII,3072,0.75,approximation,unif-set,not-paired,full
2,1,4.02462654123053e-05,SII,3072,0.75,approximation,ksh,not-paired,not full
2,1,4.055660777507183e-05,SII,3072,0.75,approximation,ksh,not-paired,full
2,1,4.050544782363958e-05,SII,3072,0.75,approximation,faith,not-paired,not full
2,1,4.055660777507183e-05,SII,3072,0.75,approximation,faith,not-paired,full
2,1,0.0012023654487333501,SII,3276,0.8,permutation,,,
2,1,0.0008485749973231199,SII,3276,0.8,approximation,unif-size,not-paired,not full
2,1,0.0008488765117748947,SII,3276,0.8,approximation,unif-size,not-paired,full
2,1,4.0216989431395514e-05,SII,3276,0.8,approximation,unif-set,not-paired,not full
2,1,4.055660777507183e-05,SII,3276,0.8,approximation,unif-set,not-paired,full
2,1,4.067134636783969e-05,SII,3276,0.8,approximation,ksh,not-paired,not full
2,1,4.055660777507183e-05,SII,3276,0.8,approximation,ksh,not-paired,full
2,1,4.0791090396351574e-05,SII,3276,0.8,approximation,faith,not-paired,not full
2,1,4.055660777507183e-05,SII,3276,0.8,approximation,faith,not-paired,full
2,1,0.0008058271902715535,SII,3481,0.85,permutation,,,
2,1,0.0008490594137501923,SII,3481,0.85,approximation,unif-size,not-paired,not full
2,1,0.0008488765117748947,SII,3481,0.85,approximation,unif-size,not-paired,full
2,1,4.026900922746602e-05,SII,3481,0.85,approximation,unif-set,not-paired,not full
2,1,4.055660777507183e-05,SII,3481,0.85,approximation,unif-set,not-paired,full
2,1,4.0493132325172595e-05,SII,3481,0.85,approximation,ksh,not-paired,not full
2,1,4.055660777507183e-05,SII,3481,0.85,approximation,ksh,not-paired,full
