shapley_interaction_order,iteration,approx_value,interaction_index,n_absolute,n_relative,approx_type,sampling_kernel,pairing,full
2,1,0.001424983170802079,SII,1100,0.27,approximation,unif-set,not-paired,not full
2,1,0.00040741554486623845,SII,1100,0.27,approximation,unif-set,not-paired,full
2,1,0.0018765008693357673,SII,1100,0.27,approximation,ksh,not-paired,not full
2,1,0.00040741554486623845,SII,1100,0.27,approximation,ksh,not-paired,full
2,1,0.001483914282685378,SII,1100,0.27,approximation,faith,not-paired,not full
2,1,0.00040741554486623845,SII,1100,0.27,approximation,faith,not-paired,full
2,1,0.003875148184627945,SII,1200,0.29,permutation,,,
2,1,0.010240923412626684,SII,1200,0.29,approximation,unif-size,not-paired,not full
2,1,0.001245776951453431,SII,1200,0.29,approximation,unif-size,not-paired,full
2,1,0.0012289311849261711,SII,1200,0.29,approximation,unif-set,not-paired,not full
2,1,0.00040741554486623845,SII,1200,0.29,approximation,unif-set,not-paired,full
2,1,0.000995611019109518,SII,1200,0.29,approximation,ksh,not-paired,not full
2,1,0.00040741554486623845,SII,1200,0.29,approximation,ksh,not-paired,full
2,1,0.001023186895759501,SII,1200,0.29,approximation,faith,not-paired,not full
2,1,0.00040741554486623845,SII,1200,0.29,approximation,faith,not-paired,full
2,1,0.004318250220907161,SII,1300,0.32,permutation,,,
2,1,0.0078385875584919,SII,1300,0.32,approximation,unif-size,not-paired,not full
2,1,0.001245776951453431,SII,1300,0.32,approximation,unif-size,not-paired,full
2,1,0.0008694720028077412,SII,1300,0.32,approximation,unif-set,not-paired,not full
2,1,0.00040741554486623845,SII,1300,0.32,approximation,unif-set,not-paired,full
2,1,0.0006289062666686384,SII,1300,0.32,approximation,ksh,not-paired,not full
2,1,0.0001501251210791767,SII,1300,0.32,approximation,ksh,not-paired,full
2,1,0.0008353361751540855,SII,1300,0.32,approximation,faith,not-paired,not full
2,1,0.00040741554486623845,SII,1300,0.32,approximation,faith,not-paired,full
2,1,0.006561895476604683,SII,1400,0.34,permutation,,,
2,1,0.012277158821584522,SII,1400,0.34,approximation,unif-size,not-paired,not full
2,1,0.001245776951453431,SII,1400,0.34,approximation,unif-size,not-paired,full
2,1,0.0008478536264349831,SII,1400,0.34,approximation,unif-set,not-paired,not full
2,1,0.00040741554486623845,SII,1400,0.34,approximation,unif-set,not-paired,full
2,1,0.0005952612267851113,SII,1400,0.34,approximation,ksh,not-paired,not full
2,1,0.0001501251210791767,SII,1400,0.34,approximation,ksh,not-paired,full
2,1,0.0008020752073154074,SII,1400,0.34,approximation,faith,not-paired,not full
2,1,0.00040741554486623845,SII,1400,0.34,approximation,faith,not-paired,full
2,1,0.004635207958122194,SII,1500,0.37,permutation,,,
2,1,0.009395631845641968,SII,1500,0.37,approximation,unif-size,not-paired,not full
2,1,0.001245776951453431,SII,1500,0.37,approximation,unif-size,not-paired,full
2,1,0.0005823804647947402,SII,1500,0.37,approximation,unif-set,not-paired,not full
2,1,0.00040741554486623845,SII,1500,0.37,approximation,unif-set,not-paired,full
2,1,0.0004316100724567354,SII,1500,0.37,approximation,ksh,not-paired,not full
2,1,0.0001501251210791767,SII,1500,0.37,approximation,ksh,not-paired,full
2,1,0.0004580789589791443,SII,1500,0.37,approximation,faith,not-paired,not full
2,1,0.0001501251210791767,SII,1500,0.37,approximation,faith,not-paired,full
2,1,0.005649002602957398,SII,1600,0.39,permutation,,,
2,1,0.006265518884845283,SII,1600,0.39,approximation,unif-size,not-paired,not full
2,1,0.001245776951453431,SII,1600,0.39,approximation,unif-size,not-paired,full
2,1,0.0008683095708903081,SII,1600,0.39,approximation,unif-set,not-paired,not full
2,1,0.00040741554486623845,SII,1600,0.39,approximation,unif-set,not-paired,full
2,1,0.00048158191906482736,SII,1600,0.39,approximation,ksh,not-paired,not full
2,1,0.0001501251210791767,SII,1600,0.39,approximation,ksh,not-paired,full
2,1,0.00029906972743532135,SII,1600,0.39,approximation,faith,not-paired,not full
2,1,0.0001501251210791767,SII,1600,0.39,approximation,faith,not-paired,full
2,1,0.0050528335023121585,SII,1700,0.42,permutation,,,
2,1,0.00902500614961705,SII,1700,0.42,approximation,unif-size,not-paired,not full
2,1,0.001245776951453431,SII,1700,0.42,approximation,unif-size,not-paired,full
2,1,0.00026838311198098934,SII,1700,0.42,approximation,unif-set,not-paired,not full
2,1,0.0001501251210791767,SII,1700,0.42,approximation,unif-set,not-paired,full
2,1,0.00040190324314619453,SII,1700,0.42,approximation,ksh,not-paired,not full
2,1,0.0001501251210791767,SII,1700,0.42,approximation,ksh,not-paired,full
2,1,0.0003366633724597411,SII,1700,0.42,approximation,faith,not-paired,not full
2,1,0.0001501251210791767,SII,1700,0.42,approximation,faith,not-paired,full
2,1,0.0026844592404430614,SII,1800,0.44,permutation,,,
2,1,0.005316823802509373,SII,1800,0.44,approximation,unif-size,not-paired,not full
2,1,0.001245776951453431,SII,1800,0.44,approximation,unif-size,not-paired,full
2,1,0.00039463024158705134,SII,1800,0.44,approximation,unif-set,not-paired,not full
2,1,0.0001501251210791767,SII,1800,0.44,approximation,unif-set,not-paired,full
2,1,0.0002497517299196017,SII,1800,0.44,approximation,ksh,not-paired,not full
2,1,0.0001501251210791767,SII,1800,0.44,approximation,ksh,not-paired,full
2,1,0.0004963686680356139,SII,1800,0.44,approximation,faith,not-paired,not full
2,1,0.0001501251210791767,SII,1800,0.44,approximation,faith,not-paired,full
