shapley_interaction_order,iteration,approx_value,interaction_index,n_absolute,n_relative,approx_type,sampling_kernel,pairing,full
2,1,0.05579511603837976,SII,44,0.69,approximation,unif-set,not-paired,full
2,1,0.15839534123513294,SII,44,0.69,approximation,ksh,not-paired,not full
2,1,0.05579511603837976,SII,44,0.69,approximation,ksh,not-paired,full
2,1,0.14884215264276715,SII,44,0.69,approximation,faith,not-paired,not full
2,1,0.05579511603837976,SII,44,0.69,approximation,faith,not-paired,full
2,1,0.1488769153761688,SII,48,0.75,permutation,,,
2,1,0.18841454010240896,SII,48,0.75,approximation,unif-size,not-paired,not full
2,1,0.05579511603837976,SII,48,0.75,approximation,unif-size,not-paired,full
2,1,0.1477558232666823,SII,48,0.75,approximation,unif-set,not-paired,not full
2,1,0.05579511603837976,SII,48,0.75,approximation,unif-set,not-paired,full
2,1,0.1281886698246124,SII,48,0.75,approximation,ksh,not-paired,not full
2,1,0.05579511603837976,SII,48,0.75,approximation,ksh,not-paired,full
2,1,0.107377400680581,SII,48,0.75,approximation,faith,not-paired,not full
2,1,0.05579511603837976,SII,48,0.75,approximation,faith,not-paired,full
2,1,0.17047110026134824,SII,51,0.8,permutation,,,
2,1,0.08875181292229058,SII,51,0.8,approximation,unif-size,not-paired,not full
2,1,0.05579511603837976,SII,51,0.8,approximation,unif-size,not-paired,full
2,1,0.214085431240436,SII,51,0.8,approximation,unif-set,not-paired,not full
2,1,0.05579511603837976,SII,51,0.8,approximation,unif-set,not-paired,full
2,1,0.14840450060466592,SII,51,0.8,approximation,ksh,not-paired,not full
2,1,0.05579511603837976,SII,51,0.8,approximation,ksh,not-paired,full
2,1,0.1944778759578443,SII,51,0.8,approximation,faith,not-paired,not full
2,1,0.05579511603837976,SII,51,0.8,approximation,faith,not-paired,full
2,1,0.09978678830460043,SII,54,0.84,permutation,,,
2,1,0.16175963912952554,SII,54,0.84,approximation,unif-size,not-paired,not full
2,1,0.05579511603837976,SII,54,0.84,approximation,unif-size,not-paired,full
2,1,0.032636238085400095,SII,54,0.84,approximation,unif-set,not-paired,not full
2,1,0.05579511603837976,SII,54,0.84,approximation,unif-set,not-paired,full
2,1,0.09276004773611025,SII,54,0.84,approximation,ksh,not-paired,not full
2,1,0.05579511603837976,SII,54,0.84,approximation,ksh,not-paired,full
2,1,0.1498799881091858,SII,54,0.84,approximation,faith,not-paired,not full
2,1,0.05579511603837976,SII,54,0.84,approximation,faith,not-paired,full
2,1,0.12652587832302234,SII,57,0.89,permutation,,,
2,1,0.07361367255112113,SII,57,0.89,approximation,unif-size,not-paired,not full
2,1,0.05579511603837976,SII,57,0.89,approximation,unif-size,not-paired,full
2,1,0.15515914640670533,SII,57,0.89,approximation,unif-set,not-paired,not full
2,1,0.05579511603837976,SII,57,0.89,approximation,unif-set,not-paired,full
2,1,0.1121492231897148,SII,57,0.89,approximation,ksh,not-paired,not full
2,1,0.05579511603837976,SII,57,0.89,approximation,ksh,not-paired,full
2,1,0.09079121053209495,SII,57,0.89,approximation,faith,not-paired,not full
2,1,0.05579511603837976,SII,57,0.89,approximation,faith,not-paired,full
2,1,0.146940233632801,SII,60,0.94,permutation,,,
2,1,0.12553366948039824,SII,60,0.94,approximation,unif-size,not-paired,not full
2,1,0.05579511603837976,SII,60,0.94,approximation,unif-size,not-paired,full
2,1,0.14799760128880118,SII,60,0.94,approximation,unif-set,not-paired,not full
2,1,0.05579511603837976,SII,60,0.94,approximation,unif-set,not-paired,full
2,1,0.13896727497293943,SII,60,0.94,approximation,ksh,not-paired,not full
2,1,0.05579511603837976,SII,60,0.94,approximation,ksh,not-paired,full
2,1,0.10040445127261854,SII,60,0.94,approximation,faith,not-paired,not full
2,1,0.05579511603837976,SII,60,0.94,approximation,faith,not-paired,full
2,1,0.18766979562595162,SII,64,1.0,permutation,,,
2,1,0.11664389306728569,SII,64,1.0,approximation,unif-size,not-paired,not full
2,1,0.05579511603837976,SII,64,1.0,approximation,unif-size,not-paired,full
2,1,0.13654373430096184,SII,64,1.0,approximation,unif-set,not-paired,not full
2,1,0.05579511603837976,SII,64,1.0,approximation,unif-set,not-paired,full
2,1,0.11181897497272818,SII,64,1.0,approximation,ksh,not-paired,not full
2,1,0.05579511603837976,SII,64,1.0,approximation,ksh,not-paired,full
2,1,0.04258526227415524,SII,64,1.0,approximation,faith,not-paired,not full
2,1,0.05579511603837976,SII,64,1.0,approximation,faith,not-paired,full
2,1,,STI,16,0.25,permutation,,,
2,1,2.518127645867208,STI,16,0.25,approximation,unif-size,not-paired,not full
2,1,0.09211972049154431,STI,16,0.25,approximation,unif-size,not-paired,full
2,1,0.8170000283081464,STI,16,0.25,approximation,unif-set,not-paired,not full
2,1,0.09211972049154431,STI,16,0.25,approximation,unif-set,not-paired,full
2,1,1.2299589762626415,STI,16,0.25,approximation,ksh,not-paired,not full
2,1,0.09211972049154431,STI,16,0.25,approximation,ksh,not-paired,full
2,1,4.8964670745309355,STI,16,0.25,approximation,faith,not-paired,not full
2,1,0.09211972049154431,STI,16,0.25,approximation,faith,not-paired,full
2,1,,STI,19,0.3,permutation,,,
2,1,0.4517375455044575,STI,19,0.3,approximation,unif-size,not-paired,not full
2,1,0.09211972049154431,STI,19,0.3,approximation,unif-size,not-paired,full
2,1,0.538584143641929,STI,19,0.3,approximation,unif-set,not-paired,not full
2,1,0.09211972049154431,STI,19,0.3,approximation,unif-set,not-paired,full
2,1,0.9502801309243919,STI,19,0.3,approximation,ksh,not-paired,not full
2,1,0.09211972049154431,STI,19,0.3,approximation,ksh,not-paired,full
2,1,0.9629180348840637,STI,19,0.3,approximation,faith,not-paired,not full
2,1,0.09211972049154431,STI,19,0.3,approximation,faith,not-paired,full
2,1,,STI,22,0.34,permutation,,,
